,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (BCI = Indice de l'état du pont),,,,,,,,,,,,,,,
42 -  87/2,SEVERN RIVER BOAT CHANEL BRIDGE SOUTHBOUND LANE,400,44.799699,-79.722656,Bridge,Beam/Girder,Rolled I Beam,Weathering Steel,1992,,,3,Total=118  (1)=31.5;(2)=55;(3)=31.5;,119,11.9,Central,MUSKOKA,Open to traffic,Provincial,10/21/2013,74.7,74.7,,75,,74.5,,74.6,,74.5,,74.5,,75,
42 - 113/,Severn River Bridge,11,44.776501,-79.334939,Bridge,Beam/Girder,Plate I Girder,Steel,1966,,2012,2,Total=82.2  (1)=41.1;(2)=41.1;,82.9,21.3,Northeastern,MUSKOKA,Open to traffic,Provincial,08/20/2012,74.1,,74.1,,74.1,,75,,70.2,66.1,,70,84.3,,
42 - 115/,CPR Overhead At Mactier,69,45.121548,-79.753699,Bridge,Beam/Girder,Rolled I Beam,Steel,1956,1988,,3,Total=43.3  (1)=13.4;(2)=16.5;(3)=13.4;,43.9,15.2,Northeastern,MUSKOKA,Open to traffic,Provincial,08/31/2012,74.5,,74.5,,73,,74.3,,73.9,74.6,,74.6,75.8,,
42 - 116/,CNR Subway Bridge at Footes Bay,69,45.12905,-79.742987,Bridge,Beam/Girder,Rolled I Beam,Steel,1955,,,1,Total=19.7  (1)=19.7;,20.1,5.5,Northeastern,MUSKOKA,Open to traffic,Provincial,08/31/2012,53.5,,53.5,,54.5,,54.1,,55.7,45.3,,55.2,,,
42 - 139/,Muskoka Road 169 Underpass,11,44.905168,-79.366888,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1969,,,3,Total=70.8  (1)=17.7;(2)=35.4;(3)=17.7;,71.3,9.8,Northeastern,MUSKOKA,Open to traffic,Provincial,06/06/2012,64.7,,64.7,,65.2,,67.5,,67.9,68.9,,71.2,74.5,,
42 - 141/1,Gull Lake Bridge Northbound Lane,11,44.911457,-79.346754,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1969,2014,,2,Total=36.6  (1)=18.3;(2)=18.3;,98.7,13.4,Northeastern,MUSKOKA,Open to traffic,Provincial,10/25/2012,69.4,,69.4,,69.4,,63.6,,62.6,59.7,,72.1,85.3,,
42 - 141/2,Gull Lake Bridge Southbound Lane,11,44.91111,-79.34736,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1969,2013,,2,Total=97.6  (1)=48.8;(2)=48.8;,98.7,13.4,Northeastern,MUSKOKA,Open to traffic,Provincial,10/25/2012,65.5,,65.5,,65.5,,70.6,,60.9,58.7,,71.1,85.3,,
42 - 142/,Muskoka Road 6 & 41 Interchange (Doe Lake Road),11,44.938766,-79.341038,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1999,,,2,Total=82  (1)=41;(2)=41;,82.9,20.5,Northeastern,MUSKOKA,Open to traffic,Provincial,08/03/2012,95.5,,95.5,,97.1,,97.2,,97.5,74.8,,99.8,100,,
42 - 149/,Black River Bridge,118,45.0306,-78.991375,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1971,,1988,1,Total=19.8  (1)=19.8;,20.4,11.1,Northeastern,MUSKOKA,Open to traffic,Provincial,08/21/2012,70.1,,70.1,,73.2,,71.9,,70.5,67.1,,68.9,71.7,,
42 - 153/,Vankoughnet Road Underpass,11,44.995472,-79.306184,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1975,,2001,2,Total=67  (1)=33.5;(2)=33.5;,67.7,14.4,Northeastern,MUSKOKA,Open to traffic,Provincial,08/02/2012,65.2,,65.2,,65.9,,66.2,,62,65.3,,70.7,71.2,,
42 - 168/,Muskoka Road 2 Underpass,11,45.332356,-79.236894,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1980,2000,,2,Total=73.2  (1)=36.6;(2)=36.6;,74,10.9,Northeastern,MUSKOKA,Open to traffic,Provincial,09/10/2012,72.5,,72.5,,72.8,,72.9,,71.5,73.1,,73.2,74.2,,
42 - 169/,Muskoka Rd. #3 Underpass,11,45.312612,-79.24555,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1980,2000,,2,Total=73.2  (1)=36.6;(2)=36.6;,74.4,11.5,Northeastern,MUSKOKA,Open to traffic,Provincial,08/01/2012,73.1,,73.1,,73.5,,73.6,,74.4,74.3,,74.4,72.7,,
42 - 174/,Hwy 11 and Muskoka Road 117 Overpass,11,45.086357,-79.298573,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1979,,2001,2,Total=67  (1)=33.5;(2)=33.5;,67.7,10,Northeastern,MUSKOKA,Open to traffic,Provincial,08/02/2012,73.6,,73.6,,73.9,,74.4,,74.7,73.9,,75.2,74.2,,
42 - 178/,Sedore Road Interchange,11,44.878769,-79.33691,Bridge,Beam/Girder,Box Beam,Weathering Steel,1985,,2011,1,Total=45.5  (1)=45.5;,48,12,Northeastern,MUSKOKA,Open to traffic,Provincial,08/23/2012,82.5,,82.5,,83.5,,84.6,,90.6,71.9,,72.9,86.6,,
42 - 179/,Kilworthy and South Kashe Lake Road,11,44.842998,-79.317729,Bridge,Beam/Girder,Box Beam,Weathering Steel,1985,,2010,1,Total=45.5  (1)=45.5;,48,12,Northeastern,MUSKOKA,Open to traffic,Provincial,08/23/2012,85,,85,,88.8,,92,,91,71.2,,74.1,91.9,,
42 - 180/,Sparrow Lake Road 'D',11,44.814071,-79.324444,Bridge,Beam/Girder,Box Beam,Weathering Steel,1984,,2010,1,Total=45  (1)=45;,48,11.4,Northeastern,MUSKOKA,Open to traffic,Provincial,08/23/2012,81.1,,81.1,,86.8,,90,,90.4,72.5,,73.4,94.4,,
42 - 181/,Muskoka Road #13 Interchange,11,44.780254,-79.334854,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1984,2010,,1,Total=25  (1)=25;,25.6,25.5,Northeastern,MUSKOKA,Open to traffic,Provincial,08/03/2012,74.3,,74.3,,74.3,,72,,79.7,66.1,,73.3,85,,
42 - 182/,Taylor Road Interchange,11,45.052831,-79.289395,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1987,,,2,Total=80  (1)=40;(2)=40;,81.5,11.9,Northeastern,MUSKOKA,Open to traffic,Provincial,08/02/2012,74.3,,74.3,,74.7,,74.7,,75.5,75.1,,94.6,94.6,,
42 - 189/,Fraserburg Road and Muskoka Road 14,11,45.035157,-79.292691,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1988,,,2,Total=78  (1)=39;(2)=39;,79,9.5,Northeastern,MUSKOKA,Open to traffic,Provincial,08/02/2012,76.3,,76.3,,75.2,,75,,92.9,75.3,,97,97.2,,
42 - 190/,Highway 60 Interchange Underpass,11,45.346522,-79.231114,Bridge,Beam/Girder,Box Beam,Weathering Steel,1989,,,2,Total=80  (1)=40;(2)=40;,80.6,16.5,Northeastern,MUSKOKA,Open to traffic,Provincial,08/24/2012,81.4,,81.4,,85.5,,84.6,,82.7,75.8,,96.3,94.1,,
42 - 191/,Muskoka Road 37 Underpass,11,45.01158,-79.29682,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1997,,,2,Total=79  (1)=42;(2)=37;,80.5,13.9,Northeastern,MUSKOKA,Open to traffic,Provincial,08/23/2012,86.2,,86.2,,90,,94.8,,95.1,74.5,,98.3,98,,
42 - 192/1,Hwy 141/Muskoka Road 10 Overpass (Northbound Lane),11,45.213788,-79.313788,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2000,,,1,Total=34.5  (1)=34.5;,37.5,18.1,Northeastern,MUSKOKA,Open to traffic,Provincial,08/01/2012,95.2,,95.2,,97.2,,97.2,,97.9,81.4,,98.1,98.4,,
42 - 192/2,Hwy 141/Muskoka Road10 Overpass (Southbound Lane),11,45.213805,-79.31431,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2000,,,1,Total=34.5  (1)=34.5;,37.5,19.4,Northeastern,MUSKOKA,Open to traffic,Provincial,08/01/2012,94.9,,94.9,,98,,98.1,,98.1,0,,98.4,99.1,,
42 - 268/1,Muskoka Road 5 Overpass (Northbound Lane),400,44.805043,-79.736024,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1993,,,1,Total=21.5  (1)=21.5;,24.2,14.1,Northeastern,MUSKOKA,Open to traffic,Provincial,09/12/2012,82,,82,,95.5,,98.6,,98.5,74.7,,98.3,98.6,,
42 - 268/2,Muskoka Road 5 Overpass (Southbound Lane),400,44.805014,-79.736512,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1993,,,1,Total=21.5  (1)=21.5;,24.2,14.1,Northeastern,MUSKOKA,Open to traffic,Provincial,09/12/2012,81.8,,81.8,,82.7,,84.9,,92,74.5,,98.7,98.2,,
42 - 301/1,Baxter Lake North Crossing Northbound Lane,400,44.878619,-79.746951,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1996,,,2,Total=87  (1)=43.5;(2)=43.5;,87.6,11.9,Northeastern,MUSKOKA,Open to traffic,Provincial,09/13/2012,87.1,,87.1,,91.6,,95.7,,96.3,74.9,,95.8,98.6,,
42 - 301/2,Baxter Lake North Crossing Southbound Lane,400,44.87907,-79.747344,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1996,,,3,Total=129  (1)=36;(2)=57;(3)=36;,129.6,11.9,Northeastern,MUSKOKA,Open to traffic,Provincial,09/13/2012,81,,81,,78.2,,76.6,,96.3,75.2,,97.6,98.3,,
42 - 302/1,Baxter Narrows Bridge Northbound Lane,400,44.87635,-79.747252,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1996,,,3,Total=62  (1)=18;(2)=26;(3)=18;,62.6,12,Northeastern,MUSKOKA,Open to traffic,Provincial,09/12/2012,89.2,,89.2,,90.1,,90.1,,97,74,,96.9,99,,
42 - 302/2,Baxter Narrows Bridge Southbound Lane,400,44.876544,-79.747505,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1996,,,3,Total=62  (1)=18;(2)=26;(3)=18;,62.6,12,Northeastern,MUSKOKA,Open to traffic,Provincial,09/12/2012,90.9,,90.9,,95.7,,96.6,,96.8,74.5,,97.2,98.4,,
42 - 303/2,Mcdonald Lake Bridge (Southbound Lane),400,45.371537,-79.217703,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1997,,,1,Total=44  (1)=44;,44.6,13.4,Northeastern,MUSKOKA,Open to traffic,Provincial,09/12/2012,87,,87,,91.5,,92.6,,97.4,74.7,,95.6,98.2,,
42 - 304/1,Joe King's Road Overpass Northbound Lane,400,44.890632,-79.755843,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1995,,,1,Total=10  (1)=10;,11.5,12,Northeastern,MUSKOKA,Open to traffic,Provincial,09/12/2012,81.4,,81.4,,85.3,,86.7,,98.1,74.1,,97.8,99.1,,
42 - 304/2,Joe King's Road Overpass Southbound Lane,400,44.890515,-79.756305,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1995,,,1,Total=10  (1)=10;,11.5,12,Northeastern,MUSKOKA,Open to traffic,Provincial,09/12/2012,79.7,,79.7,,84.1,,88.1,,95.2,79.8,,97.7,99.1,,
42 - 305/,Muskoka Road 34/48 Underpass,400,44.859717,-79.742086,Bridge,Beam/Girder,Box Beam,Post-Tensioned Cast-In-Place Concrete,1995,,,2,Total=84  (1)=40;(2)=44;,85,10.5,Northeastern,MUSKOKA,Open to traffic,Provincial,08/22/2012,91.7,,91.7,,96.1,,97.7,,96.8,74.9,,99,97.9,,
42 - 309/1,Georgian/Crooked Bay Overpass Northbound Lane,400,44.918242,-79.77505,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1997,,,1,Total=15  (1)=15;,17,16.5,Northeastern,MUSKOKA,Open to traffic,Provincial,09/12/2012,80.3,,80.3,,83.5,,85.7,,98.2,74.5,,97.2,98.1,,
42 - 309/2,Georgian/Crooked Bay Overpass Southbound Lane,400,44.918255,-79.775456,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1997,,,1,Total=15  (1)=15;,16.8,17,Northeastern,MUSKOKA,Open to traffic,Provincial,09/12/2012,83.4,,83.4,,86.1,,88.4,,94,84.4,,98.5,97.8,,
42 - 311/,Muskoka Road 33 Interchange Underpass,400,44.967408,-79.774437,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1997,,,2,Total=80  (1)=42;(2)=38;,81,12.5,Northeastern,MUSKOKA,Open to traffic,Provincial,08/22/2012,89.6,,89.6,,93,,95.7,,97.5,78.9,,98.7,99.5,,
42 - 314/1,Muskoka Road 32/38 Interchange Under Pass Northbound Lane,69,44.992419,-79.782804,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2006,,,1,Total=38  (1)=38;,39,10,Northeastern,MUSKOKA,Open to traffic,Provincial,09/11/2012,98.6,,98.6,,99.2,,98,100,,,,,,,
42 - 314/2,Muskoka Road 32/38 Interchange Underpass Southbound Lane,69,44.992374,-79.783469,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2005,,,1,Total=38  (1)=38;,39,10,Northeastern,MUSKOKA,Open to traffic,Provincial,09/11/2012,98.1,,98.1,,98.8,,99,100,,,,,,,
42 - 316/,Big East River East Service Road Bridge,,45.379431,-79.222559,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2000,,,3,Total=52  (1)=15;(2)=22;(3)=15;,53.2,10.9,Northeastern,MUSKOKA,Open to traffic,Provincial,08/09/2012,95.3,,95.3,,95.6,,89.5,,92.5,,,99.7,100,,
42 - 317/,Muskoka Road 3 (Old North Road) Underpass,11,45.371695,-79.217356,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1999,,2011,2,Total=76  (1)=39;(2)=37;,77.5,11.9,Northeastern,MUSKOKA,Open to traffic,Provincial,09/10/2012,93.6,,93.6,,95.7,,95.8,,96.1,97.9,,98,98.6,,
42 - 318/,Cranberry Marsh Road Interchange Underpass,69,45.03083,-79.77104,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2007,,,2,Total=78  (1)=39;(2)=39;,79.2,11.2,Northeastern,MUSKOKA,Open to traffic,Provincial,09/11/2012,98.1,,98.1,,96.9,,,,,,,,,,
42 - 319/1,Muskoka Road 12 Interchange Overpass Northbound Lane,69,45.05628,-79.78467,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2007,,,3,Total=36.7  (1)=9.3;(2)=18.1;(3)=9.3;,38.8,14,Northeastern,MUSKOKA,Open to traffic,Provincial,09/11/2012,98.3,,98.3,,98.7,,,,,,,,,,
42 - 319/2,Muskoka Road 12 Interchange Overpass Southbound Lane,400,45.05628,-79.78467,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2007,,,1,Total=31  (1)=31;,32.2,14,Northeastern,MUSKOKA,Open to traffic,Provincial,09/11/2012,98.5,,98.5,,99.1,,,,,,,,,,
42 - 320/,Highway 69 - Old Hwy 69 Underpass,400,45.091712,-79.785438,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2001,,,2,Total=77  (1)=38.5;(2)=38.5;,77.6,12,Northeastern,MUSKOKA,Open to traffic,Provincial,08/31/2012,96.4,,96.4,,98.7,,91.5,,99.8,74.9,,98.6,,,
42 - 321/,Highway 69 - Tower Road Underpass,400,45.105868,-79.786808,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2002,,,2,Total=75  (1)=37.5;(2)=37.5;,75.6,11.5,Northeastern,MUSKOKA,Open to traffic,Provincial,08/31/2012,96.6,,96.6,,99,,97,,98.5,74.5,,99.5,,,
42 - 322/,North Waseosa Lake Road Underpass,11,45.410772,-79.239803,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2001,,,2,Total=75  (1)=37.5;(2)=37.5;,76.2,14,Northeastern,MUSKOKA,Open to traffic,Provincial,08/07/2012,94.4,,94.4,,91.8,,87.3,,94.1,97,,99.6,,,
42 - 323/,Highway 11 - Four Laning Little East River South Bridge,11,45.428103,-79.238445,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2001,,,1,Total=18.3  (1)=18.3;,18.9,14,Northeastern,MUSKOKA,Open to traffic,Provincial,08/07/2012,92.1,,92.1,,91.9,,89.1,,98.9,82,,98.5,,,
42 - 324/,Highway 11 - Four Laning Little East River North Bridge,11,45.435713,-79.241823,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2001,,,1,Total=18.3  (1)=18.3;,18.9,14,Northeastern,MUSKOKA,Open to traffic,Provincial,08/07/2012,93.1,,93.1,,92.9,,89,,97.5,78.4,,99.3,,,
42 - 325/,Highway 11 - Novar Road Underpass,11,45.445244,-79.24565,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,2001,,,2,Total=77  (1)=38;(2)=39;,77.6,12,Northeastern,MUSKOKA,Open to traffic,Provincial,08/07/2012,95.6,,95.6,,96.5,,89.3,,89.3,74.7,,99.8,,,
43 -   1/,GRANITE LAKE BRIDGE,11,47.1578,-79.73611,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1938,,2010,1,Total=9.1  (1)=9.1;,15.2,11.6,Northeastern,NIPISSING,Open to traffic,Provincial,07/12/2013,79.8,79.8,,66.5,,48.5,,46.4,,49.7,,49.7,,52.9,
43 -   2/,Marten River Bridge,64,46.73193,79.82127,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1976,2000,,1,Total=33.5  (1)=33.5;,34.4,10.4,Northeastern,NIPISSING,Open to traffic,Provincial,06/20/2012,72.9,,72.9,,73.4,,73.8,74.3,,74.6,,74.8,,81.4,
43 -   3/,NET LAKE BRIDGE,11,47.10626,-79.79324,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,2001,,,1,Total=21.7  (1)=21.7;,22.3,15.4,Northeastern,NIPISSING,Open to traffic,Provincial,07/12/2013,94.8,94.8,,97.3,,98.1,,98.5,,99.6,,100,,100,
43 -   4/,Holdridge Creek,64,46.68223,-79.90754,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1968,2000,,1,Total=21.3  (1)=21.3;,21.9,10.4,Northeastern,NIPISSING,Open to traffic,Provincial,06/18/2012,70.7,,70.7,,72.2,,72.9,73.2,,74,,73.4,,85,
43 -   5/,Marten River Bridge,11,46.72142,-79.79498,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1990,,2010,1,Total=36  (1)=36;,36.7,12.5,Northeastern,NIPISSING,Open to traffic,Provincial,06/21/2012,80.8,,80.8,,73.2,,73.4,72.9,,73.7,,73.1,,70.1,
43 -   9/,Sturgeon River Bridge,539,46.57373,-80.18169,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1987,,,3,Total=93  (1)=26.5;(2)=40;(3)=26.5;,93.8,9.5,Northeastern,NIPISSING,Open to traffic,Provincial,06/13/2012,74.1,,74.1,,74.2,,74.4,74.4,,74.7,,74.9,,74.3,
43 -  10/,Tomiko River Bridge,11,46.58163,-79.63699,Bridge,Beam/Girder,Plate I Girder,Steel,1961,2012,,3,Total=39.1  (1)=11;(2)=17.1;(3)=11;,39.7,11,Northeastern,NIPISSING,Open to traffic,Provincial,06/21/2012,71.8,,71.8,,71.8,,72.7,73.8,,71.3,,72.9,,69.6,
43 -  11/,Big Jocko River Bridge,63,46.61226,-79.16975,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1951,1997,,1,Total=15.2  (1)=15.2;,17,12.1,Northeastern,NIPISSING,Open to traffic,Provincial,05/16/2012,70.4,,70.4,,70.8,,72.5,72.3,,73,,73.6,,71.8,
43 -  12/,Deer Creek Bridge (Frood),539,46.552031,-80.26607,Bridge,Beam/Girder,Solid Slab,Timber-Concrete Composite,2012,,,5,Total=22.7  (1)=4;(2)=4.9;(3)=4.9;(4)=4.9;(5)=4;,24.2,10.5,Northeastern,NIPISSING,Open to traffic,Provincial,05/31/2012,66.4,,66.4,,66.4,,68.2,69.2,,64.3,,63.9,,71.9,
43 -  16/,Mcarty Creek,539,46.56946,-80.15614,Bridge,Beam/Girder,Rolled I Beam,Steel,1981,,,3,Total=59.7  (1)=18;(2)=23.5;(3)=18.2;,60,9.4,Northeastern,NIPISSING,Open to traffic,Provincial,05/31/2012,72.3,,72.3,,72.8,,73.2,72.2,,72.9,,70,,76.6,
43 -  17/,Hebert Creek Bridge,539,46.53574,-80.08018,Bridge,Frame,"Rigid Frame, Other",Weathering Steel,2011,,2014,1,Total=13.5  (1)=13.5;,15.5,10,Northeastern,NIPISSING,Open to traffic,Provincial,06/19/2012,99,,99,,70,,68.8,69,,63.5,,71.7,,45.1,
43 -  19/,Sturgeon River Bridge ,64,46.52188,-80.02666,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,2008,,,3,Total=64  (1)=18.5;(2)=28.5;(3)=17;,64.6,15.5,Northeastern,NIPISSING,Open to traffic,Provincial,06/18/2012,97.2,,97.2,,98.1,,46.6,46.6,,46.6,,53.9,,50.2,
43 -  23/,Bridge Over Little Jocko River,63,46.55165,-79.16103,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1949,1997,,1,Total=18.2  (1)=18.2;,20.6,11,Northeastern,NIPISSING,Open to traffic,Provincial,05/16/2012,71.3,,71.3,,71.9,,72.6,72.6,,73.6,,73.9,,70.9,
43 -  30/,Veuve River Bridge,64,46.40803,-80.12312,Bridge,Beam/Girder,Plate I Girder,Steel,1962,1998,2005,3,Total=65.8  (1)=21.9;(2)=22;(3)=21.9;,66.2,12.2,Northeastern,NIPISSING,Open to traffic,Provincial,07/06/2012,73.7,,73.7,,73.9,,74.3,73.7,,73.6,,73.6,,74.5,
43 -  36/,Duchesnay Creek Bridge Widened,11,46.41106,-79.46606,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1938,1984,,1,Total=9.1  (1)=9.1;,10.1,13.1,Northeastern,NIPISSING,Open to traffic,Provincial,05/30/2012,55.8,,55.8,,55.1,,56,56.4,,54.9,,57.9,,52.6,
43 -  56/,Riberdy's Creek Bridge,64,46.36127,-80.1649,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1963,1998,,2,Total=9.2  (1)=4.6;(2)=4.6;,10.3,11.6,Northeastern,NIPISSING,Open to traffic,Provincial,05/29/2012,88.4,,88.4,,93.4,,74.4,74.3,,72.4,,74.8,,74.9,
43 -  57/,Northwest Bay of Lake Nipissing ,64,46.32103,-80.17159,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,2004,,,3,Total=72  (1)=22;(2)=28;(3)=22;,73,12,Northeastern,NIPISSING,Open to traffic,Provincial,05/30/2012,92.6,,92.6,,93.4,,96.7,97.6,,98.6,,,,34.1,
43 -  64/,Little Sturgeon River Bridge,17,46.36925,-79.746,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1982,,2011,3,Total=66  (1)=17;(2)=32;(3)=17;,67.6,13.5,Northeastern,NIPISSING,Open to traffic,Provincial,09/19/2012,74.4,,74.4,,74,,74.6,74.9,,85.1,,87.4,,73.8,
43 -  65/,Laronde Creek Bridge,17,46.37029,-79.71091,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1938,,2007,1,Total=13.7  (1)=13.7;,15.5,10.2,Northeastern,NIPISSING,Open to traffic,Provincial,05/30/2012,72.6,,72.6,,71.9,,73.2,73.5,,57,,63.9,,53,
43 -  66/,CNR Overhead,17,46.33218,-79.50881,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1938,1988,,11,Total=80.2  (1)=6;(2)=6;(3)=6;(4)=6;(5)=6;(6)=6;(7)=13.1;(8)=13.1;(9)=6;(10)=6;(11)=6;,82.1,10.2,Northeastern,NIPISSING,Open to traffic,Provincial,05/30/2012,71.1,,71.1,,71.2,,71.1,71.3,,58,,57.6,,55.4,
43 -  67/,Duchesnay Creek Bridge ,17,46.3287,-79.50327,Bridge,Truss,Deck Truss,Glue Laminated Wood,1937,,,10,Total=78  (1)=5;(2)=5;(3)=5;(4)=5;(5)=5;(6)=5;(7)=5;(8)=5;(9)=5;(10)=33;,79.8,10.1,Northeastern,NIPISSING,Open to traffic,Provincial,06/04/2012,67.5,,67.5,,68.4,,68.8,68.1,,58.4,,61.3,,61.7,
43 -  85/,Amable Du Fond River Bridge,630,46.27373,-78.9165,Bridge,Beam/Girder,Rolled I Beam,Steel,2013,,,2,Total=24.6  (1)=6.1;(2)=18.5;,26.8,5.2,Northeastern,NIPISSING,Open to traffic,Provincial,06/05/2012,60.3,,60.3,,59.8,,59.9,60.4,,53.8,,58.2,,47.8,
43 -  86/,Amable Du Fond River Bridge,630,46.27356,-78.91649,Bridge,Beam/Girder,Plate I Girder,Steel,2013,,,1,Total=16.4  (1)=16.4;,16.4,5.2,Northeastern,NIPISSING,Open to traffic,Provincial,06/05/2012,46.6,,46.6,,45.5,,45.4,45.5,,38.5,,49.7,,39.1,
43 -  87/,Amable Dufond River Bridge,17,46.28663,-78.90429,Bridge,Beam/Girder,Plate I Girder,Steel,1966,2007,,1,Total=36.6  (1)=36.6;,37.9,11.1,Northeastern,NIPISSING,Open to traffic,Provincial,05/15/2012,79.1,,79.1,,80.3,,83.5,81.3,,71.3,,70.7,,71.7,
43 -  88/,Pautois Creek Bridge,17,46.28344,-78.86282,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1966,2006,,1,Total=18.3  (1)=18.3;,20.8,11,Northeastern,NIPISSING,Open to traffic,Provincial,05/15/2012,73.5,,73.5,,73.7,,74,78,,72.7,,71.5,,71.2,
43 -  93/,CPR Overhead at Mattawa,17,46.31758,-78.70219,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1969,2011,,1,Total=4.9  (1)=4.9;,6.6,45.3,Northeastern,NIPISSING,Open to traffic,Provincial,05/14/2012,74.7,,74.7,,72.8,,73,74.4,,74.6,,74.7,,57.4,
43 -  94/,CPR Subway,17,46.31518,-78.68899,Bridge,Beam/Girder,Rolled I Beam,Steel,1932,,,1,Total=10  (1)=10;,24.6,5,Northeastern,NIPPISSING,Open to traffic,Provincial,05/14/2012,56.4,,56.4,,60.4,,60.5,60.5,,59.9,,63.8,,,
43 - 100/,Aumond Creek Bridge,17,46.277,-78.48158,Bridge,Beam/Girder,AASHTO Girder,Reinforced Precast Concrete,1968,2010,,1,Total=24.4  (1)=24.4;,25.3,12.8,Northeastern,NIPISSING,Open to traffic,Provincial,05/14/2012,77.6,,77.6,,77.7,,55,61.5,,62.2,,61.4,,55.1,
43 - 105/1,CNR Overhead (Northbound Lane),11,46.27457,-79.40096,Bridge,Frame,"Rigid Frame, Inclined Leg",Reinforced Cast-In-Place Concrete,1958,2000,,1,Total=16.6  (1)=16.6;,18.7,15.3,Northeastern,NIPISSING,Open to traffic,Provincial,05/17/2012,73.6,,73.6,,73.9,,74.3,74.9,,74.4,,74.6,,77.5,
